historyid,userid,destinationid,visitdate,experiencerating,name_user,email,preferences,gender,numberofadults,numberofchildren,name_dest,state,type,popularity,besttimetovisit,reviewid,rating,reviewtext
,,1.0,,,,,,,,,Murchison Falls,Masindi,Historical,8.691906258695031,Nov-Feb,,,
653.0,348.0,2.0,2024-02-15,4.0,Anika,anika@example.com,"City, Historical",Female,1.0,0.0,Zanzibar Beaches,Zanzibar,Beach,8.605031858363876,Nov-Mar,,,
485.0,693.0,3.0,2024-02-15,2.0,Aditya,aditya@example.com,"City, Historical",Male,2.0,0.0,Kampala City,Kampala,City,9.225372007612826,Oct-Mar,,,
548.0,490.0,4.0,2024-02-15,1.0,Isha,isha@example.com,"Beaches, Historical",Female,2.0,1.0,Lake Bunyonyi,Kabale,Nature,7.9773855361057935,Sep-Mar,,,
878.0,518.0,4.0,2024-02-15,3.0,Tanvi,tanvi@example.com,"Nature, Adventure",Female,2.0,2.0,Lake Bunyonyi,Kabale,Nature,7.9773855361057935,Sep-Mar,,,
886.0,599.0,5.0,2024-01-01,5.0,Kavya,kavya@example.com,"Nature, Adventure",Female,1.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.399821878316247,Apr-Jun,,,
233.0,335.0,6.0,2024-02-15,2.0,Saanvi,saanvi@example.com,"Nature, Adventure",Female,2.0,2.0,Murchison Falls,Masindi,Historical,7.6489495441529245,Nov-Feb,,,
366.0,182.0,7.0,2024-03-20,5.0,Ritvik,ritvik@example.com,"Nature, Adventure",Male,1.0,1.0,Zanzibar Beaches,Zanzibar,Beach,9.14506834197403,Nov-Mar,,,
961.0,260.0,7.0,2024-01-01,1.0,Isha,isha@example.com,"Nature, Adventure",Female,1.0,0.0,Zanzibar Beaches,Zanzibar,Beach,9.14506834197403,Nov-Mar,,,
706.0,507.0,7.0,2024-01-01,2.0,Saanvi,saanvi@example.com,"City, Historical",Female,2.0,2.0,Zanzibar Beaches,Zanzibar,Beach,9.14506834197403,Nov-Mar,,,
598.0,699.0,7.0,2024-01-01,2.0,Aditya,aditya@example.com,"City, Historical",Male,2.0,2.0,Zanzibar Beaches,Zanzibar,Beach,9.14506834197403,Nov-Mar,,,
280.0,735.0,7.0,2024-01-01,3.0,Riya,riya@example.com,"City, Historical",Female,1.0,0.0,Zanzibar Beaches,Zanzibar,Beach,9.14506834197403,Nov-Mar,,,
322.0,876.0,8.0,2024-01-01,5.0,Ritvik,ritvik@example.com,"City, Historical",Male,2.0,2.0,Kampala City,Kampala,City,9.4587045393854,Oct-Mar,,,
669.0,888.0,8.0,2024-03-20,3.0,Riya,riya@example.com,"City, Historical",Female,2.0,0.0,Kampala City,Kampala,City,9.4587045393854,Oct-Mar,,,
629.0,272.0,9.0,2024-02-15,2.0,Arjun,arjun@example.com,"Nature, Adventure",Male,2.0,0.0,Lake Bunyonyi,Kabale,Nature,9.260450137338132,Sep-Mar,,,
109.0,899.0,9.0,2024-01-01,1.0,Anika,anika@example.com,"Nature, Adventure",Female,1.0,1.0,Lake Bunyonyi,Kabale,Nature,9.260450137338132,Sep-Mar,,,
44.0,463.0,10.0,2024-02-15,5.0,Karan,karan@example.com,"Beaches, Historical",Male,1.0,2.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.811952081678728,Apr-Jun,,,
473.0,999.0,11.0,2024-02-15,3.0,Hitesh,hitesh@example.com,"City, Historical",Male,2.0,2.0,Murchison Falls,Masindi,Historical,8.17770928252728,Nov-Feb,,,
,,12.0,,,,,,,,,Zanzibar Beaches,Zanzibar,Beach,8.084317505906522,Nov-Mar,,,
,,13.0,,,,,,,,,Kampala City,Kampala,City,9.114721643188815,Oct-Mar,,,
370.0,87.0,14.0,2024-01-01,4.0,Ishaan,ishaan@example.com,"City, Historical",Male,2.0,2.0,Lake Bunyonyi,Kabale,Nature,8.551426230833268,Sep-Mar,,,
526.0,773.0,14.0,2024-01-01,3.0,Arjun,arjun@example.com,"Nature, Adventure",Male,1.0,0.0,Lake Bunyonyi,Kabale,Nature,8.551426230833268,Sep-Mar,,,
,,15.0,,,,,,,,,Mount Rwenzori,Jammu and Kashmir,Adventure,9.297389086740504,Apr-Jun,,,
853.0,903.0,16.0,2024-01-01,5.0,Hitesh,hitesh@example.com,"City, Historical",Male,2.0,1.0,Murchison Falls,Masindi,Historical,8.337332881983857,Nov-Feb,,,
